"yPlus","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.06147170067,0.0002073616779,-0.0001504538232,-7.239003147e-11,2.390262932e-22,0,0,0,0.9700840712,0,0
0.06147170067,0.0002073616779,-0.0001504538232,-7.239003147e-11,2.390262932e-22,0,0,0,0.9700840712,0,1
0.06083603948,0.0001974572224,-0.0001473583397,-6.806356867e-11,-3.738790937e-21,0,0,0,1.011955261,0,0
0.06083603948,0.0001974572224,-0.0001473583397,-6.806356867e-11,-3.738790937e-21,0,0,0,1.011955261,0,1
0.0602138713,0.0001871840359,-0.0001443594811,-6.405392189e-11,0,0,0,0,1.05491364,0,0
0.0602138713,0.0001871840359,-0.0001443594811,-6.405392189e-11,0,0,0,0,1.05491364,0,1
0.05961813405,0.0001768150396,-0.0001415168517,-6.037315786e-11,0,0,0,0,1.097872138,0,0
0.05961813405,0.0001768150396,-0.0001415168517,-6.037315786e-11,0,0,0,0,1.097872138,0,1
0.05905061215,0.0001665822201,-0.0001388351666,-5.700613939e-11,0,0,0,0,1.140830636,0,0
0.05905061215,0.0001665822201,-0.0001388351666,-5.700613939e-11,0,0,0,0,1.140830636,0,1
0.05850917101,0.0001565429266,-0.0001363006158,-5.392733482e-11,0,0,0,0,1.183789134,0,0
0.05850917101,0.0001565429266,-0.0001363006158,-5.392733482e-11,0,0,0,0,1.183789134,0,1
0.05799181014,0.0001466718531,-0.0001339006558,-5.111091758e-11,0,0,0,0,1.226747513,0,0
0.05799181014,0.0001466718531,-0.0001339006558,-5.111091758e-11,0,0,0,0,1.226747513,0,1
0.05749669299,0.0001369486272,-0.0001316238195,-4.853154684e-11,0,0,0,0,1.269706011,0,0
0.05749669299,0.0001369486272,-0.0001316238195,-4.853154684e-11,0,0,0,0,1.269706011,0,1
0.05702213198,0.0001273705857,-0.0001294598769,-4.616388521e-11,0,0,0,0,1.312664509,0,0
0.05702213198,0.0001273705857,-0.0001294598769,-4.616388521e-11,0,0,0,0,1.312664509,0,1
0.05656662583,0.0001179433457,-0.0001273996895,-4.398470824e-11,-2.288443228e-21,0,0,0,1.355623007,0,0
0.05656662583,0.0001179433457,-0.0001273996895,-4.398470824e-11,-2.288443228e-21,0,0,0,1.355623007,0,1
0.05612881854,0.0001086752454,-0.0001254351519,-4.197382719e-11,-2.288443228e-21,0,0,0,1.398581386,0,0
0.05612881854,0.0001086752454,-0.0001254351519,-4.197382719e-11,-2.288443228e-21,0,0,0,1.398581386,0,1
0.05570749193,9.957724978e-05,-0.0001235589734,-4.011397811e-11,0,0,0,0,1.441539884,0,0
0.05570749193,9.957724978e-05,-0.0001235589734,-4.011397811e-11,0,0,0,0,1.441539884,0,1
0.05530153215,9.066465282e-05,-0.0001217646059,-3.83903534e-11,0,0,0,0,1.484498382,0,0
0.05530153215,9.066465282e-05,-0.0001217646059,-3.83903534e-11,0,0,0,0,1.484498382,0,1
0.05490993336,8.195851115e-05,-0.0001200461411,-3.679023058e-11,0,0,0,0,1.52745688,0,0
0.05490993336,8.195851115e-05,-0.0001200461411,-3.679023058e-11,0,0,0,0,1.52745688,0,1
0.05453175679,7.348770305e-05,-0.0001183982022,-3.53028648e-11,0,0,0,0,1.570415258,0,0
0.05453175679,7.348770305e-05,-0.0001183982022,-3.53028648e-11,0,0,0,0,1.570415258,0,1
0.05416614562,6.529182428e-05,-0.0001168158415,-3.391947834e-11,0,0,0,0,1.613373756,0,0
0.05416614562,6.529182428e-05,-0.0001168158415,-3.391947834e-11,0,0,0,0,1.613373756,0,1
0.05381228775,5.742816575e-05,-0.0001152944897,-3.263395457e-11,0,0,0,0,1.656332254,0,0
0.05381228775,5.742816575e-05,-0.0001152944897,-3.263395457e-11,0,0,0,0,1.656332254,0,1
0.05346938968,4.997879296e-05,-0.0001138297666,-3.144260893e-11,0,0,0,0,1.699290752,0,0
0.05346938968,4.997879296e-05,-0.0001138297666,-3.144260893e-11,0,0,0,0,1.699290752,0,1
0.05313665792,4.308526331e-05,-0.0001124174305,-3.035267523e-11,0,0,0,0,1.742249131,0,0
0.05313665792,4.308526331e-05,-0.0001124174305,-3.035267523e-11,0,0,0,0,1.742249131,0,1
0.05281308666,3.693413964e-05,-0.0001110524536,-2.937834004e-11,0,0,0,0,1.785207629,0,0
0.05281308666,3.693413964e-05,-0.0001110524536,-2.937834004e-11,0,0,0,0,1.785207629,0,1
0.05249753222,3.206960537e-05,-0.0001097293134,-2.852368342e-11,0,0,0,0,1.828166127,0,0
0.05249753222,3.206960537e-05,-0.0001097293134,-2.852368342e-11,0,0,0,0,1.828166127,0,1
0.05218882486,2.915348341e-05,-0.0001084425821,-3.849830177e-11,0,0,0,0,1.871124625,0,0
0.05218882486,2.915348341e-05,-0.0001084425821,-3.849830177e-11,0,0,0,0,1.871124625,0,1
0.05188909918,3.788214235e-05,-0.0001072005034,-4.046381633e-11,-1.71615198e-21,0,0,0,1.914083004,0,0
0.05188909918,3.788214235e-05,-0.0001072005034,-4.046381633e-11,-1.71615198e-21,0,0,0,1.914083004,0,1
0.05153157562,-2.091995611e-06,-0.0001057292611,-3.312571745e-11,-1.71615198e-21,0,0,0,1.957041502,0,0
0.05153157562,-2.091995611e-06,-0.0001057292611,-3.312571745e-11,-1.71615198e-21,0,0,0,1.957041502,0,1
0.05132098123,-5.171316661e-05,-0.0001048651029,-3.419448752e-11,0,0,0,0,2,0,0
0.05132098123,-5.171316661e-05,-0.0001048651029,-3.419448752e-11,0,0,0,0,2,0,1
